ID;OBJECT (PAPER);OBJECT (2014 REL.);OBJECT (2017 REL.);SUPER CATEGORY
51;broccoli
52;carrot
53;hot dog
54;pizza
55;donut
56;cake
57;chair
58;couch
59;potted plant
60;bed
61;dining table
62;toilet
63;tv
64;laptop
65;mouse
66;remote
67;keyboard
68;cell phone
69;microwave
70;oven
71;toaster
72;sink
73;refrigerator
74;book
75;clock
76;vase
77;scissors
78;teddy bear
79;hair drier
80;toothbrush
81;banner
82;blanket
83;bridge
84;cardboard
85;counter
86;curtain
87;door-stuff
88;floor-wood
89;flower
90;fruit
91;gravel
92;house
93;light
94;mirror-stuff
95;net
96;pillow
97;platform
98;playingfield
99;railroad
100;river
101;road
